Location,LocCode,ImageNumber,ImageQuality,Species,NumIndividuals,Date,Time,Notes
Anteater_1,AT,IMG_0025,1,human,1,10/11/2019,14:25:00,Orientation one:close to the road
Anteater_1,AT,IMG_0028,1,human,1,10/11/2019,14:55:00, 
Anteater_1,AT,IMG_0031,1,human,1,10/11/2019,18:24:00, 
Anteater_1,AT,IMG_0034,1,human,1,10/11/2019,18:28:00, 
Anteater_1,AT,IMG_0039,1,human,1,10/11/2019,18:37:00, 
Anteater_1,AT,IMG_0041,1,domestic dog,1,10/11/2019,18:38:00, 
Anteater_1,AT,IMG_0041,1,human,1,10/11/2019,18:38:00, 
Anteater_1,AT,IMG_0043,2,human,1,10/11/2019,18:40:00,only leg
Anteater_1,AT,IMG_0047,1,domestic dog,1,10/11/2019,21:06:00, 
Anteater_1,AT,IMG_0047,1,human,1,10/11/2019,21:06:00, 
Anteater_1,AT,IMG_0050,1,human,1,10/11/2019,21:18:00, 
Anteater_1,AT,IMG_0051,1,human,2,10/11/2019,21:18:00, 
Anteater_1,AT,IMG_0052,1,coyote,1,10/11/2019,23:46:00, 
Anteater_1,AT,IMG_0060,1,human,1,10/11/2019,7:52:00, 
Anteater_1,AT,IMG_0064,1,human,1,10/12/2019,8:18:00, 
Anteater_1,AT,IMG_0064,1,domestic dog,1,10/12/2019,8:18:00, 
Anteater_1,AT,IMG_0067,1,human,1,10/12/2019,8:42:00, 
Anteater_1,AT,IMG_0073,1,human,1,10/12/2019,9:56:00, 
Anteater_1,AT,IMG_0087,1,human,2,10/12/2019,12:32:00, 
Anteater_1,AT,IMG_0096,1,human,2,10/12/2019,13:50:00, 
Anteater_1,AT,IMG_0101,1,human,1,10/12/2019,14:09:00, 
Anteater_1,AT,IMG_0103,1,human,1,10/12/2019,14:39:00, 
Anteater_1,AT,IMG_0106,1,human,1,10/12/2019,14:55:00, 
Anteater_1,AT,IMG_0110,1,human,1,10/12/2019,15:47:00, 
Anteater_1,AT,IMG_0112,1,human,1,10/12/2019,16:24:00, 
Anteater_1,AT,IMG_0120,1,coyote,1,10/12/2019,19:38:00, 
Anteater_1,AT,IMG_0124,1,coyote,1,10/12/2019,19:55:00, 
Anteater_1,AT,IMG_0127,1,human,1,10/12/2019,20:47:00, 
Anteater_1,AT,IMG_0143,1,coyote,1,10/13/2019,6:22:00, 
Anteater_1,AT,IMG_0152,1,human,1,10/13/2019,12:58:00, 
Anteater_1,AT,IMG_0154,1,human,1,10/13/2019,13:02:00, 
Anteater_1,AT,IMG_0163,1,human,1,10/13/2019,13:03:00, 
Anteater_1,AT,IMG_0166,1,human,1,10/13/2019,13:04:00, 
Anteater_1,AT,IMG_0166,1,domestic dog,1,10/13/2019,13:04:00, 
Anteater_1,AT,IMG_0177,1,human,4,10/13/2019,13:27:00, 
Anteater_1,AT,IMG_0184,1,human,1,10/13/2019,14:29:00, 
Anteater_1,AT,IMG_0193,1,human,1,10/13/2019,15:41:00, 
Anteater_1,AT,IMG_0197,1,human,2,10/13/2019,16:13:00, 
Anteater_1,AT,IMG_0199,1,human,1,10/13/2019,16:58:00, 
Anteater_1,AT,IMG_0200,1,domestic dog,1,10/13/2019,16:58:00, 
Anteater_1,AT,IMG_0208,1,human,2,10/13/2019,18:59:00, 
Anteater_1,AT,IMG_0236,1,rabbit,1,10/14/2019,5:51:00, 
