Location,LocCode,ImageNumber,ImageQuality,Species,NumIndividuals,Date,Time,datetime,Notes,Counter
MacArthurBridge,MB,RCNX0242-MB-2020-04-05-human,1.0,human,1.0,4/5/2020,16:18:00,2020-04-05 16:18:00, ,6358
MacArthurBridge,MB,RCNX0676-MB-2020-02-23-human,1.0,human,1.0,2/23/2020,13:35:00,2020-02-23 13:35:00, ,5683
MacArthurBridge,MB,RCNX0685-MB-2020-03-25-dog and human,1.0,dog and human,,3/25/2020,7:00:39,2020-03-25 07:00:39,,6093
MacArthurBridge,MB,RCNX1000-MB-2020-03-01-human,1.0,human,2.0,3/1/2020,9:14:00,2020-03-01 09:14:00,jogger,5790
MacArthurBridge,MB,RCNX0562-MB-2020-02-20-human,1.0,human,1.0,2/20/2020,15:36:00,2020-02-20 15:36:00, ,5643
MacArthurBridge,MB,RCNX1090-MB-2020-03-31-human,1.0,human,1.0,3/31/2020,12:25:12,2020-03-31 12:25:12, ,6227
MacArthurBridge,MB,RCNX0949-MB-2020-02-29-human,1.0,human,1.0,2/29/2020,9:58:00,2020-02-29 09:58:00, ,5774
MacArthurBridge,MB,RCNX0090-MB-2020-04-04-bird,3.0,bird,1.0,4/4/2020,10:54:00,2020-04-04 10:54:00, ,6311
MacArthurBridge,MB,RCNX0227-MB-2020-03-12-human,1.0,human,1.0,3/12/2020,10:16:17,2020-03-12 10:16:17, ,5932
MacArthurBridge,MB,RCNX0976-MB-2020-03-29-horse and human,1.0,horse and human,,3/29/2020,12:37:25,2020-03-29 12:37:25,,6188
MacArthurBridge,MB,RCNX1363-MB-2020-04-22-human,1.0,human,1.0,4/22/2020,14:05:00,2020-04-22 14:05:00, ,6550
MacArthurBridge,MB,RCNX0688-MB-2020-02-23-human,1.0,human,1.0,2/23/2020,15:02:00,2020-02-23 15:02:00,jogger,5687
MacArthurBridge,MB,RCNX0436-MB-2020-04-10-human,2.0,human,1.0,4/10/2020,12:53:00,2020-04-10 12:53:00, ,6393
MacArthurBridge,MB,RCNX0350-MB-2020-03-15-human,2.0,human,1.0,3/15/2020,21:59:37,2020-03-15 21:59:37, ,5980
MacArthurBridge,MB,RCNX1051-MB-2020-03-30-human,2.0,human,1.0,3/30/2020,12:10:18,2020-03-30 12:10:18, ,6214
MacArthurBridge,MB,RCNX0169-MB-2020-01-29-human,1.0,human,1.0,1/29/2020,10:56:00,2020-01-29 10:56:00,Runner,5334
MacArthurBridge,MB,RCNX0826-MB-2020-04-18-human,1.0,human,1.0,4/18/2020,10:50:00,2020-04-18 10:50:00, ,6475
MacArthurBridge,MB,RCNX1027-MB-2020-03-29-human,1.0,human,1.0,3/29/2020,19:27:38,2020-03-29 19:27:38, ,6206
MacArthurBridge,MB,RCNX0370-MB-2020-02-16-human,1.0,human,1.0,2/16/2020,14:21:00,2020-02-16 14:21:00, ,5582
MacArthurBridge,MB,RCNX0556-MB-2020-03-22-dog and human,1.0,dog and human,,3/22/2020,7:03:01,2020-03-22 07:03:01,,6055
MacArthurBridge,MB,RCNX0085-MB-2020-03-08-human,2.0,human,1.0,3/8/2020,14:43:35,2020-03-08 14:43:35, ,5882
MacArthurBridge,MB,RCNX0100-MB-2020-04-04-human,1.0,human,2.0,4/4/2020,11:53:00,2020-04-04 11:53:00, ,6317
MacArthurBridge,MB,RCNX00505-MB-2020-02-06-human,1.0,human,1.0,2/6/2020,7:41:00,2020-02-06 07:41:00,Runner,5448
MacArthurBridge,MB,RCNX0217-MB-2020-02-13-domestic dog,1.0,domestic dog,1.0,2/13/2020,9:47:00,2020-02-13 09:47:00, ,5533
MacArthurBridge,MB,RCNX0415-MB-2020-03-19-human,1.0,human,1.0,3/19/2020,16:11:53,2020-03-19 16:11:53, ,6004
MacArthurBridge,MB,RCNX0880-MB-2020-02-28-human,1.0,human,1.0,2/28/2020,6:10:00,2020-02-28 06:10:00, ,5751
MacArthurBridge,MB,RCNX1225-MB-2020-04-01-human,1.0,human,1.0,4/1/2020,17:38:57,2020-04-01 17:38:57, ,6262
MacArthurBridge,MB,RCNX1873-MB-2020-04-26-dog and human,1.0,dog and human,,4/26/2020,8:57:00,2020-04-26 08:57:00,,6604
MacArthurBridge,MB,RCNX0394-MB-2020-02-03-human,1.0,human,1.0,2/3/2020,18:30:00,2020-02-03 18:30:00, ,5409
MacArthurBridge,MB,RCNX0616-MB-2020-04-14-human,1.0,human,1.0,4/14/2020,15:51:00,2020-04-14 15:51:00, ,6441
MacArthurBridge,MB,RCNX0556-MB-2020-04-13-human,1.0,human,1.0,4/13/2020,10:36:00,2020-04-13 10:36:00, ,6423
MacArthurBridge,MB,RCNX0301-MB-2020-02-15-human,1.0,human,1.0,2/15/2020,10:42:00,2020-02-15 10:42:00, ,5560
MacArthurBridge,MB,RCNX0649-MB-2020-02-22-human,1.0,human,1.0,2/22/2020,18:38:00,2020-02-22 18:38:00, ,5673
MacArthurBridge,MB,RCNX0013-MB-2020-01-24-human,1.0,human,1.0,1/24/2020,15:59:00,2020-01-24 15:59:00, ,5282
MacArthurBridge,MB,RCNX0925-MB-2020-02-28-human,1.0,human,1.0,2/28/2020,17:19:00,2020-02-28 17:19:00, ,5766
