Location,LocCode,ImageNumber,ImageQuality,Species,NumIndividuals,Date,Time,datetime,Notes,Counter
Anteater_1,AT,IMG_0025-AT-2019-10-11-human,1.0,human,1,10/11/2019,14:25:00,2019-10-11 14:25:00,Orientation one:close to the road,1
Anteater_1,AT,IMG_0028-AT-2019-10-11-human,1.0,human,1,10/11/2019,14:55:00,2019-10-11 14:55:00, ,2
Anteater_1,AT,IMG_0031-AT-2019-10-11-human,1.0,human,1,10/11/2019,18:24:00,2019-10-11 18:24:00, ,3
Anteater_1,AT,IMG_0034-AT-2019-10-11-human,1.0,human,1,10/11/2019,18:28:00,2019-10-11 18:28:00, ,4
Anteater_1,AT,IMG_0039-AT-2019-10-11-human,1.0,human,1,10/11/2019,18:37:00,2019-10-11 18:37:00, ,5
Anteater_1,AT,IMG_0041-AT-2019-10-11-dog and human,1.0,dog and human,,10/11/2019,18:38:00,2019-10-11 18:38:00,,6
Anteater_1,AT,IMG_0043-AT-2019-10-11-human,2.0,human,1,10/11/2019,18:40:00,2019-10-11 18:40:00,only leg,7
Anteater_1,AT,IMG_0047-AT-2019-10-11-dog and human,1.0,dog and human,,10/11/2019,21:06:00,2019-10-11 21:06:00,,8
Anteater_1,AT,IMG_0050-AT-2019-10-11-human,1.0,human,1,10/11/2019,21:18:00,2019-10-11 21:18:00, ,9
Anteater_1,AT,IMG_0051-AT-2019-10-11-human,1.0,human,2,10/11/2019,21:18:00,2019-10-11 21:18:00, ,10
Anteater_1,AT,IMG_0052-AT-2019-10-11-coyote,1.0,coyote,1,10/11/2019,23:46:00,2019-10-11 23:46:00, ,11
Anteater_1,AT,IMG_0060-AT-2019-10-11-human,1.0,human,1,10/11/2019,7:52:00,2019-10-11 07:52:00, ,12
Anteater_1,AT,IMG_0064-AT-2019-10-12-dog and human,1.0,dog and human,,10/12/2019,8:18:00,2019-10-12 08:18:00,,13
Anteater_1,AT,IMG_0067-AT-2019-10-12-human,1.0,human,1,10/12/2019,8:42:00,2019-10-12 08:42:00, ,14
Anteater_1,AT,IMG_0073-AT-2019-10-12-human,1.0,human,1,10/12/2019,9:56:00,2019-10-12 09:56:00, ,15
Anteater_1,AT,IMG_0087-AT-2019-10-12-human,1.0,human,2,10/12/2019,12:32:00,2019-10-12 12:32:00, ,16
Anteater_1,AT,IMG_0096-AT-2019-10-12-human,1.0,human,2,10/12/2019,13:50:00,2019-10-12 13:50:00, ,17
Anteater_1,AT,IMG_0101-AT-2019-10-12-human,1.0,human,1,10/12/2019,14:09:00,2019-10-12 14:09:00, ,18
Anteater_1,AT,IMG_0103-AT-2019-10-12-human,1.0,human,1,10/12/2019,14:39:00,2019-10-12 14:39:00, ,19
Anteater_1,AT,IMG_0106-AT-2019-10-12-human,1.0,human,1,10/12/2019,14:55:00,2019-10-12 14:55:00, ,20
Anteater_1,AT,IMG_0110-AT-2019-10-12-human,1.0,human,1,10/12/2019,15:47:00,2019-10-12 15:47:00, ,21
